Measure    	Election 	County 	Ballot Title Caption
1-129 	2024 General Election 	Baker 	Bonds to Repair and Update Schools, Additional Classrooms; Improve Safety. (Pine Eagle School District No. 61)
1-130 	2024 General Election 	Baker 	Four Year Local Option Tax for Noxious Weed Control
3-610 	2024 General Election 	Clackamas 	CHARTER AMENDMENT ESTABLISHING TERM LIMITS FOR MAYOR AND CITY COUNCIL (City of Happy Valley)
3-611 	2024 General Election 	Clackamas 	PROHIBITS PSILOCYBIN-RELATED BUSINESSES WITHIN OREGON CITY (City of Oregon City)
3-612 	2024 General Election 	Clackamas 	CHARTER AMENDMENT: ENHANCES PARK AND NATURAL AREA PROTECTION (City of Rivergrove)
3-613 	2024 General Election 	Clackamas 	Bonds updating facilities, improving workforce training; safety, security and technology (Clackamas Community College)
3-614 	2024 General Election 	Clackamas 	RENEW FIVE-YEAR LOCAL OPTION TAX FOR VECTOR (MOSQUITO-FLY) CONTROL (Clackamas County Vector Control District)
3-615 	2024 General Election 	Clackamas 	APPROVAL OF HAPPY VALLEY POLICE SERVICES LEVY FOR FIVE YEARS (City of Happy Valley)
3-616 	2024 General Election 	Clackamas 	Bonds increasing safety, security; expanding career education; repairing, updating facilities (Oregon City School District No. 62)
3-617 	2024 General Election 	Clackamas 	Prohibition of Psilocybin-related businesses within the City of Estacada.
3-618 	2024 General Election 	Clackamas 	Allows road safety project, driveway realignment on specific park property. (City of Lake Oswego)
3-619 	2024 General Election 	Clackamas 	Prohibits psilocybin businesses within the City of Lake Oswego.
3-620 	2024 General Election 	Clackamas 	Amends City Charter regarding limit on Mayor and Councilor compensation. (City of West Linn)
3-621 	2024 General Election 	Clackamas 	Permanently bans certain psilocybin-related businesses within unincorporated Clackamas County.
4-227 	2024 General Election 	Clatsop 	BONDS FOR WASTEWATER TREATMENT PLANT AND SYSTEM IMPROVEMENTS (City of Warrenton)
4-228 	2024 General Election 	Clatsop 	Prohibits psilocybin-related businesses within the City of Warrenton.
4-229 	2024 General Election 	Clatsop 	DEED FORMER LIBRARY BULIDING AND PROPERTY TO VFW POST 10580 (City of Warrenton)
4-230 	2024 General Election 	Clatsop 	Five-year operating levy for fire and emergency services. (Gearhart Rural Fire Protection District)
